section,expected_count,url
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LBSIV/avgjorelse/lb-2015-8828
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LBSIV/avgjorelse/lb-2014-58107
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LHSIV/avgjorelse/lh-2014-168975
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LHSIV/avgjorelse/lh-2014-189202
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LESIV/avgjorelse/le-2014-188806
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LBSIV/avgjorelse/lb-2014-80509
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LGSIV/avgjorelse/lg-2014-156495
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LESIV/avgjorelse/le-2014-96767
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LBSIV/avgjorelse/lb-2014-156469
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LBSIV/avgjorelse/lb-2013-202890
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LFSIV/avgjorelse/lf-2014-32160
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LHSIV/avgjorelse/lh-2013-171971
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LHSIV/avgjorelse/lh-2013-195143
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LBSIV/avgjorelse/lb-2012-101879
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LBSIV/avgjorelse/lb-2013-141881
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LGSIV/avgjorelse/lg-2013-92972
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LHSIV/avgjorelse/lh-2012-140306
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LASIV/avgjorelse/la-2012-85717
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LFSIV/avgjorelse/lf-2013-14272
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LHSIV/avgjorelse/lh-2012-105793
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LHSIV/avgjorelse/lh-2012-94559
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LHSIV/avgjorelse/lh-2012-12587
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LBSIV/avgjorelse/lb-2011-36129
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LBSIV/avgjorelse/lb-2010-201985
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LASIV/avgjorelse/la-2011-100800
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LBSIV/avgjorelse/lb-2010-199054
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LBSIV/avgjorelse/lb-2010-176631
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LESIV/avgjorelse/le-2011-50469
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LGSIV/avgjorelse/lg-2011-138916
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LBSIV/avgjorelse/lb-2010-68992
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LBSIV/avgjorelse/lb-2010-89115
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LESIV/avgjorelse/le-2011-40623
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LESIV/avgjorelse/le-2011-50857
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LESIV/avgjorelse/le-2011-11664
